7, coin, 0, -64
8, box, 0, 0
9, coin, 0, -64
10, coin, 0, -64
11, coin, 0, 0
12, coin, 0, 0
16, vine, 0, 0
20, box, 0, 0
21, box, 0, -64
22, box, 0, 0
23, box, 0, -64
24, box, 0, -64
25, box, 0, -64
26, box, 0, 0
27, box, 0, 0
28, coin, 0, -64
29, coin, 0, 0
30, coin, 0, -64
31, coin, 0, 0
32, coin, 0, -64
33, coin, 0, 0
34, saw, 0, 0
35, coin, 0, -64
36, coin, 0, -64
37, coin, 0, -128
38, coin, 0, -64
39, coin, 0, -64
40, saw, 0, 0
44, vine, 0, 0
45, coin, 0, -64
46, coin, 0, -64
47, coin, 0, -64
48, box, 0, 0
49, box, 0, -64
50, box, 0, 0
51, coin, 0, -64
52, coin, 0, -64
53, coin, 0, -64
54, vine, 0, 0
58, saw, 0, 0
59, coin, 0, -64
60, coin, 0, -128
61, coin, 0, -128
62, coin, 0, -64
63, saw, 0, 0
67, box, 0, 0
68, coin, 0, 0
69, box, 0, 0
70, coin, 0, 0
71, box, 0, 0
72, box, 0, -64
73, box, 0, -64
74, box, 0, 0
75, box, 0, 0
76, coin, 0, -64
77, coin, 0, 0
80, saw, 0, 0
82, coin, 0, 0
83, coin, 0, 0
84, vine, 0, 0
85, coin, 0, 0
86, coin, 0, 0
87, coin, 0, -64
88, saw, 0, 0
89, coin, 0, -64
90, coin, 0, 0
91, coin, 0, 0
93, box, 0, 0
94, box, 0, -64
95, box, 0, -128
96, box, 0, -128
97, box, 0, -128
98, coin, 0, -64
99, coin, 0, 0
100, coin, 0, 0
101, vine, 0, 0
102, coin, 0, -64
103, vine, 0, 0
104, coin, 0, -64
105, vine, 0, 0
106, coin, 0, 0
107, coin, 0, -64
108, coin, 0, -64
109, box, 0, 0
110, box, 0, -64
111, box, 0, -64
112, box, 0, -128
113, box, 0, -128
114, box, 0, -64
115, box, 0, -64
116, box, 0, 0
117, coin, 0, -128
118, coin, 0, -64
119, coin, 0, 0
122, box, 0, 0
123, box, 0, -64
124, box, 0, -128
125, box, 0, -128
126, saw, 0, 0
127, box, 0, -128
128, box, 0, -128
129, saw, 0, 0
130, box, 0, -128
131, box, 0, -128
132, box, 0, -64
133, box, 0, -64
135, coin, 0, 0
136, coin, 0, -64
138, vine, 0, 0
139, coin, 0, 0
140, coin, 0, 0
142, saw, 0, 0
144, coin, 0, -64
145, coin, 0, -64
147, saw, 0, 0
150, coin, 0, 0
151, vine, 0, 0
152, coin, 0, 0
153, coin, 0, 0
155, box, 0, 0
156, coin, 0, 0
157, box, 0, 0
158, coin, 0, 0
159, box, 0, 0
160, coin, 0, 0
